"Section","Title","Path","IndentLevel","FileExists","FileSizeKB","LineCount","HeaderCount","ContentRatio","LastModified","DaysSinceModified","IsBlank","IsSubstantial","IsStale","Issues"
"","Transpersonal dimensions in human pair bonding","README.md","0","True","7.51","228","32","0.57","11/28/2025 8:59:51 AM","1","False","True","False",""
"Front Matter","Abstract","front_matter/abstract.md","0","True","6.26","31","1","0.61","11/25/2025 6:10:00 PM","3","False","True","False",""
"Dissertation Chapters","Chapters Overview","chapters/README.md","0","True","0.01","2","1","0","11/18/2025 11:45:26 AM","11","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Dissertation Chapters","Chapter 1: Introduction","chapters/01_introduction/chapter_01_introduction.md","0","True","29.37","121","10","0.5","11/27/2025 11:18:25 PM","1","False","True","False",""
"Dissertation Chapters","Chapter 2: Evolutionary Foundations","chapters/02_evolutionary_foundations/chapter_02_evolutionary_foundations.md","0","True","11.81","177","22","0.41","11/29/2025 11:33:02 AM","0","False","True","False",""
"Dissertation Chapters","Chapter 3: Archetypal Dimensions","chapters/03_archetypal_dimensions/chapter_03_archetypal_dimensions.md","0","True","0.67","17","2","0.53","11/22/2025 3:52:27 PM","6","False","True","False",""
"Dissertation Chapters","Chapter 4: Synchronicity","chapters/04_synchronicity/chapter_04_synchronicity.md","0","True","0.39","16","2","0.5","11/22/2025 12:22:07 AM","7","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Dissertation Chapters","Chapter 5: Transpersonal Dimensions","chapters/05_transpersonal_dimensions/chapter_05_transpersonal_dimensions.md","0","True","0.39","16","2","0.5","11/22/2025 12:22:07 AM","7","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Dissertation Chapters","Chapter 6: Contemporary Crisis","chapters/06_contemporary_crisis/chapter_06_contemporary_crisis.md","0","True","0.3","14","2","0.5","11/22/2025 12:22:07 AM","7","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Dissertation Chapters","Chapter 7: Synthesis","chapters/07_synthesis/chapter_07_synthesis.md","0","True","0.27","14","2","0.5","11/22/2025 12:22:07 AM","7","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Dissertation Chapters","Chapter 8: Implications","chapters/08_implications/chapter_08_implications.md","0","True","0.28","14","2","0.5","11/22/2025 12:22:07 AM","7","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Dissertation Chapters","Chapter 9: Implications (Extended)","chapters/09_implications/chapter_09_implications.md","0","True","1.04","58","14","0.36","11/22/2025 3:09:13 PM","6","False","True","False",""
"Dissertation Chapters","Chapter 10: Conclusion","chapters/10_conclusion/chapter_10_conclusion.md","0","True","1.21","64","15","0.36","11/22/2025 3:09:13 PM","6","False","True","False",""
"Primary Sources","Firman & Simmons (2011)","sources/summaries/Firman_2011_Source_Summary.md","0","True","47.01","799","65","0.55","11/25/2025 10:28:57 AM","4","False","True","False",""
"Primary Sources","Gangestad & Simpson (2000)","notes/reading_notes/by_source/gangestad_simpson_2000_source_summary.md","0","True","27.97","634","47","0.65","11/22/2025 10:57:25 PM","6","False","True","False",""
"Primary Sources","Buss (2023)","notes/reading_notes/by_source/buss_2023_mating_strategies_summary.md","0","True","33.41","539","45","0.66","11/18/2025 5:00:44 PM","10","False","True","False",""
"Primary Sources","Bertrand et al.","notes/reading_notes/by_source/bertrand_et_al_hypergamy_summary.md","0","True","37.61","745","48","0.65","11/21/2025 10:46:47 PM","7","False","True","False",""
"Primary Sources","Larsen (2023)","notes/reading_notes/by_source/larsen_2023_polygyny_demographic_collapse_summary.md","0","True","29.24","694","43","0.66","11/23/2025 11:12:18 AM","6","False","True","False",""
"Primary Sources","Thompson (In press)","comparative-analyses/Thompson_Comparative_Analysis.md","0","True","22.62","447","77","0.54","11/27/2025 11:47:39 PM","1","False","True","False",""
"Primary Sources","Limar (2011)","notes/reading_notes/by_source/limar_2011_summary.md","0","True","18.59","274","40","0.58","11/21/2025 7:08:11 PM","7","False","True","False",""
"Primary Sources","Fayyaz (2019)","notes/reading_notes/by_source/fayyaz_2019_summary.md","0","True","19.32","424","36","0.65","11/20/2025 2:38:32 PM","8","False","True","False",""
"Comparative Analyses","Comparative Analyses Overview","comparative-analyses/_Analyses_Overview.md","0","True","0.91","28","4","0.64","11/25/2025 5:55:52 PM","3","False","True","False",""
"Comparative Analyses","Jung - Archetypes & Infidelity Research Comparative Analysis","comparative-analyses/Jung_Infidelity_Comparative_Analysis.md","0","True","21.57","454","43","0.67","11/28/2025 10:48:59 PM","0","False","True","False",""
"Comparative Analyses","Jung - Psychology of Transference Comparative Analysis","comparative-analyses/Jung_CW16_Comparative_Analysis.md","0","True","23.48","453","44","0.66","11/28/2025 10:48:59 PM","0","False","True","False",""
"Comparative Analyses","Jung - Anima & Animus Comparative Analysis","comparative-analyses/Jung_Anima_Animus_Comparative_Analysis.md","0","True","22.38","454","44","0.66","11/28/2025 10:48:59 PM","0","False","True","False",""
"Comparative Analyses","Jung - Archetypes & Collective Unconscious Comparative Analysis","comparative-analyses/Jung_CW9-1_Comparative_Analysis.md","0","True","25.33","451","44","0.66","11/28/2025 10:48:59 PM","0","False","True","False",""
"Comparative Analyses","Limar (2011) Comparative Analysis","comparative-analyses/Limar_Comparative_Analysis.md","0","True","11.26","259","19","0.65","11/25/2025 5:55:52 PM","3","False","True","False",""
"Comparative Analyses","Bertrand et al. Comparative Analysis","comparative-analyses/Bertrand_Comparative_Analysis.md","0","True","6.74","186","18","0.62","11/25/2025 5:55:52 PM","3","False","True","False",""
"Comparative Analyses","Buss (2023) Comparative Analysis","comparative-analyses/Buss_2023_Comparative_Analysis.md","0","True","27.41","511","49","0.59","11/25/2025 7:03:50 PM","3","False","True","False",""
"Comparative Analyses","\[Larsen (2023) Comparative Analysis\","comparative-analyses/Larsen\_2023\_Comparative\_Analysis.md](comparative-analyses/larsen-2023-comparative-analysis-comparative-analyses-larsen_2023_comparative_analysis.md.md","0","False","0","0","0","0",,"0","False","False","False","MISSING: File does not exist at path: C:\Users\user\Documents\PhD\phd-sacred-bonds-thesis\comparative-analyses\Larsen\_2023\_Comparative\_Analysis.md](comparative-analyses\larsen-2023-comparative-analysis-comparative-analyses-larsen_2023_comparative_analysis.md.md"
"Comparative Analyses","Gangestad & Simpson (2000) Comparative Analysis","comparative-analyses/Gangestad_Simpson_2000_Comparative_Analysis.md","0","True","40.9","721","52","0.62","11/25/2025 7:04:09 PM","3","False","True","False",""
"Quotes by Source","Overview","quotes/README.md","0","True","1.45","54","8","0.57","11/18/2025 5:11:40 PM","10","False","True","False",""
"Quotes by Source","Gangestad & Simpson","quotes/by_source/gangestad_simpson_quotes.md","0","True","0.03","2","1","0","11/22/2025 2:39:25 PM","6","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Quotes by Source","Firman & Simmons (2011)","sources/quotes/Firman_2011_Quotes_Database.md","0","True","28.84","650","64","0.61","11/25/2025 10:29:32 AM","4","False","True","False",""
"Quotes by Source","Bertrand et al.","quotes/by_source/bertrand_et_al_hypergamy_quotes.md","0","True","23.67","431","41","0.66","11/21/2025 10:46:53 PM","7","False","True","False",""
"Quotes by Source","Fayyaz (2019)","quotes/by_source/fayyaz_2019_quotes.md","0","True","24.97","630","60","0.59","11/20/2025 2:42:47 PM","8","False","True","False",""
"Quotes by Source","Limar (2011)","quotes/by_source/limar_2011_quotes.md","0","True","15.58","308","32","0.63","11/21/2025 6:32:24 PM","7","False","True","False",""
"Quotes by Chapter","Chapter Index","quotes/by_chapter/README.md","0","True","0.02","2","1","0","11/18/2025 11:45:26 AM","11","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Quotes by Chapter","Chapter 1 Quotes","quotes/by_chapter/chapter_01_quotes.md","0","True","3.92","101","14","0.46","11/20/2025 10:00:55 PM","8","False","True","False",""
"Quotes by Chapter","Chapter 2 Quotes","quotes/by_chapter/chapter_02_quotes.md","0","True","8.31","168","16","0.62","11/18/2025 3:24:07 PM","10","False","True","False",""
"Quotes by Chapter","Chapter 3 Quotes","quotes/by_chapter/chapter_03_quotes.md","0","True","1.53","47","9","0.43","11/18/2025 6:08:53 PM","10","False","True","False",""
"Quotes by Chapter","Chapter 4 Quotes","quotes/by_chapter/chapter_04_quotes.md","0","True","0.36","13","2","0.46","11/18/2025 6:10:01 PM","10","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Quotes by Chapter","Chapter 5 Quotes","quotes/by_chapter/chapter_05_quotes.md","0","True","0.38","13","2","0.46","11/18/2025 9:32:05 PM","10","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Quotes by Theme","Demographic Crisis","quotes/by_theme/Demographic_Crisis.md","0","True","4.45","147","13","0.48","11/23/2025 8:37:28 PM","5","False","True","False",""
"Quotes by Theme","Modernization Effects","quotes/by_theme/Modernization_Effects.md","0","True","4.53","145","13","0.48","11/23/2025 8:37:29 PM","5","False","True","False",""
"Quotes by Theme","Parental Investment","quotes/by_theme/Parental_Investment.md","0","True","8.25","226","19","0.48","11/23/2025 8:37:28 PM","5","False","True","False",""
"Quotes by Theme","Psychological Mechanisms","quotes/by_theme/Psychological_Mechanisms.md","0","True","9.96","263","22","0.47","11/23/2025 8:37:28 PM","5","False","True","False",""
"Quotes by Theme","Archetypal Patterns in Pair Bonding","quotes/by_theme/Archetypal_Patterns.md","0","True","12.49","301","37","0.57","11/29/2025 11:22:51 AM","0","False","True","False",""
"Quotes by Theme","Transpersonal & Sacred Dimensions","quotes/by_theme/Transpersonal_Sacred_Dimensions.md","0","True","12.03","300","37","0.57","11/29/2025 11:22:51 AM","0","False","True","False",""
"Quotes by Theme","Unconscious Processes in Mate Selection","quotes/by_theme/Unconscious_Processes.md","0","True","12.74","313","38","0.57","11/29/2025 11:22:51 AM","0","False","True","False",""
"Quotes by Theme","Synchronicity & Meaningful Encounters","quotes/by_theme/Synchronicity_Meaning.md","0","True","11.51","288","36","0.56","11/29/2025 11:22:51 AM","0","False","True","False",""
"Quotes by Theme","Individuation & Transformation","quotes/by_theme/Individuation_Transformation.md","0","True","12.77","316","38","0.58","11/29/2025 11:22:51 AM","0","False","True","False",""
"Quote Index","Complete Quote Index","quotes/QUOTE_INDEX.md","0","True","3.13","84","10","0.65","11/23/2025 8:37:29 PM","5","False","True","False",""
"Notes Overview","Reading Notes Home","notes/reading_notes/README.md","0","True","0.02","2","1","0","11/18/2025 11:45:26 AM","11","True","False","False","BLANK: Page has minimal content (< 500 bytes or < 10 lines)"
"Notes Overview","By Source Overview","notes/reading_notes/by_source/README.md","0","True","3.39","98","16","0.54","11/27/2025 11:47:39 PM","1","False","True","False",""
"Notes Overview","By Chapter Overview","notes/reading_notes/by_chapter/README.md","0","True","1.21","42","13","0.36","11/21/2025 11:28:28 PM","7","False","True","False",""
"Notes Overview","By Type Overview","notes/reading_notes/by_type/README.md","0","True","0.81","29","6","0.55","11/21/2025 11:28:41 PM","7","False","True","False",""
"Notes by Chapter","Chapter 1 Notes","notes/reading_notes/by_chapter/chapter_01_notes.md","0","True","1.39","24","5","0.62","11/24/2025 10:21:59 PM","4","False","True","False",""
"Notes by Chapter","Chapter 2 Notes","notes/reading_notes/by_chapter/chapter_02_notes.md","0","True","0.62","19","5","0.53","11/21/2025 11:29:33 PM","7","False","True","False",""
"Notes by Chapter","Chapter 7 Notes","notes/reading_notes/by_chapter/chapter_07_notes.md","0","True","0.9","19","5","0.53","11/21/2025 11:29:33 PM","7","False","True","False",""
"Notes by Type","Advisor Comments","notes/reading_notes/by_type/advisor_comments.md","0","True","0.83","52","15","0.35","11/21/2025 11:29:11 PM","7","False","True","False",""
"Notes by Type","Ideas & Insights","notes/reading_notes/by_type/ideas.md","0","True","2.13","43","9","0.58","11/21/2025 11:28:55 PM","7","False","True","False",""
"Integration Notes","Integration Overview","notes/integration_notes/README.md","0","True","0.89","32","9","0.41","11/19/2025 12:55:07 PM","9","False","True","False",""
"Research Journal Home","Journal Overview","research_journal/README.md","0","True","0.7","21","4","0.43","11/19/2025 12:18:15 PM","9","False","True","False",""
"Research Journal Home","Journal Template","research_journal/journal_template.md","0","True","0.57","42","6","0.48","11/19/2025 12:16:50 PM","9","False","True","False",""
"Recent Reflections","Synchronicity in Modern Dating (2025-11-19)","research_journal/2025-11-19_synchronicity_modern_dating.md","0","True","3.11","79","7","0.62","11/27/2025 6:43:15 PM","1","False","True","False",""
